,source,target,relationship
778,technology,Igor Bobic,is written by
779,Baseball,Igor Bobic,is written by
780,NFL,Igor Bobic,is written by
781,golf,Igor Bobic,is written by
782,suspect,Igor Bobic,is written by
783,donald,Igor Bobic,is written by
784,charged,Igor Bobic,is written by
785,tennis,Igor Bobic,is written by
786,athletics,Igor Bobic,is written by
787,Igor Bobic,CRIME,covers
788,Igor Bobic,SPORTS,covers
789,Igor Bobic,BUSINESS,covers
790,attack,Alanna Vagianos,is written by
791,basketball,Alanna Vagianos,is written by
792,economy,Alanna Vagianos,is written by
793,football,Alanna Vagianos,is written by
794,police,Alanna Vagianos,is written by
795,technology,Alanna Vagianos,is written by
796,vote,Alanna Vagianos,is written by
797,Baseball,Alanna Vagianos,is written by
798,NFL,Alanna Vagianos,is written by
799,golf,Alanna Vagianos,is written by
800,trump,Alanna Vagianos,is written by
801,suspect,Alanna Vagianos,is written by
802,donald,Alanna Vagianos,is written by
803,election,Alanna Vagianos,is written by
804,charged,Alanna Vagianos,is written by
805,tennis,Alanna Vagianos,is written by
806,capitol,Alanna Vagianos,is written by
807,Alanna Vagianos,CRIME,covers
808,Alanna Vagianos,BUSINESS,covers
809,attack,Ben Blanchet,is written by
810,basketball,Ben Blanchet,is written by
811,economy,Ben Blanchet,is written by
812,democrats,Ben Blanchet,is written by
813,football,Ben Blanchet,is written by
814,police,Ben Blanchet,is written by
815,court,Ben Blanchet,is written by
816,technology,Ben Blanchet,is written by
817,vote,Ben Blanchet,is written by
818,Baseball,Ben Blanchet,is written by
819,NFL,Ben Blanchet,is written by
820,golf,Ben Blanchet,is written by
821,trump,Ben Blanchet,is written by
822,suspect,Ben Blanchet,is written by
823,donald,Ben Blanchet,is written by
824,election,Ben Blanchet,is written by
825,tennis,Ben Blanchet,is written by
826,athletics,Ben Blanchet,is written by
827,capitol,Ben Blanchet,is written by
828,Ben Blanchet,SPORTS,covers
829,Ben Blanchet,BUSINESS,covers
830,attack,David Moye,is written by
831,basketball,David Moye,is written by
832,economy,David Moye,is written by
833,football,David Moye,is written by
834,police,David Moye,is written by
835,court,David Moye,is written by
836,technology,David Moye,is written by
837,Baseball,David Moye,is written by
838,donald,David Moye,is written by
839,tennis,David Moye,is written by
840,capitol,David Moye,is written by
841,David Moye,BUSINESS,covers
842,attack,Nina Golgowski,is written by
843,basketball,Nina Golgowski,is written by
844,economy,Nina Golgowski,is written by
845,football,Nina Golgowski,is written by
846,court,Nina Golgowski,is written by
847,technology,Nina Golgowski,is written by
848,vote,Nina Golgowski,is written by
849,Baseball,Nina Golgowski,is written by
850,NFL,Nina Golgowski,is written by
851,golf,Nina Golgowski,is written by
852,donald,Nina Golgowski,is written by
853,election,Nina Golgowski,is written by
854,tennis,Nina Golgowski,is written by
855,athletics,Nina Golgowski,is written by
856,Nina Golgowski,SPORTS,covers
857,Nina Golgowski,BUSINESS,covers
858,attack,Jill Colvin,is written by
859,basketball,Jill Colvin,is written by
860,economy,Jill Colvin,is written by
861,democrats,Jill Colvin,is written by
862,football,Jill Colvin,is written by
863,police,Jill Colvin,is written by
864,court,Jill Colvin,is written by
865,technology,Jill Colvin,is written by
866,biden,Jill Colvin,is written by
867,vote,Jill Colvin,is written by
868,Baseball,Jill Colvin,is written by
869,NFL,Jill Colvin,is written by
870,golf,Jill Colvin,is written by
871,suspect,Jill Colvin,is written by
872,donald,Jill Colvin,is written by
873,election,Jill Colvin,is written by
874,charged,Jill Colvin,is written by
875,tennis,Jill Colvin,is written by
876,athletics,Jill Colvin,is written by
877,capitol,Jill Colvin,is written by
878,Jill Colvin,CRIME,covers
879,Jill Colvin,SPORTS,covers
880,Jill Colvin,BUSINESS,covers
881,attack,HOWARD FENDRICH,is written by
882,basketball,HOWARD FENDRICH,is written by
883,economy,HOWARD FENDRICH,is written by
884,democrats,HOWARD FENDRICH,is written by
885,football,HOWARD FENDRICH,is written by
886,republicans,HOWARD FENDRICH,is written by
887,police,HOWARD FENDRICH,is written by
888,court,HOWARD FENDRICH,is written by
889,technology,HOWARD FENDRICH,is written by
890,biden,HOWARD FENDRICH,is written by
891,vote,HOWARD FENDRICH,is written by
892,Baseball,HOWARD FENDRICH,is written by
893,NFL,HOWARD FENDRICH,is written by
894,golf,HOWARD FENDRICH,is written by
895,trump,HOWARD FENDRICH,is written by
896,suspect,HOWARD FENDRICH,is written by
897,donald,HOWARD FENDRICH,is written by
898,election,HOWARD FENDRICH,is written by
899,charged,HOWARD FENDRICH,is written by
900,tennis,HOWARD FENDRICH,is written by
901,athletics,HOWARD FENDRICH,is written by
902,capitol,HOWARD FENDRICH,is written by
903,HOWARD FENDRICH,CRIME,covers
904,HOWARD FENDRICH,POLITICS,covers
905,HOWARD FENDRICH,BUSINESS,covers
906,attack,Ron Dicker,is written by
907,economy,Ron Dicker,is written by
908,police,Ron Dicker,is written by
909,court,Ron Dicker,is written by
910,technology,Ron Dicker,is written by
911,vote,Ron Dicker,is written by
912,suspect,Ron Dicker,is written by
913,donald,Ron Dicker,is written by
914,charged,Ron Dicker,is written by
915,capitol,Ron Dicker,is written by
916,Ron Dicker,CRIME,covers
917,Ron Dicker,BUSINESS,covers
918,attack,Hilary Hanson,is written by
919,economy,Hilary Hanson,is written by
920,democrats,Hilary Hanson,is written by
921,football,Hilary Hanson,is written by
922,police,Hilary Hanson,is written by
923,court,Hilary Hanson,is written by
924,technology,Hilary Hanson,is written by
925,vote,Hilary Hanson,is written by
926,Baseball,Hilary Hanson,is written by
927,NFL,Hilary Hanson,is written by
928,golf,Hilary Hanson,is written by
929,suspect,Hilary Hanson,is written by
930,donald,Hilary Hanson,is written by
931,election,Hilary Hanson,is written by
932,charged,Hilary Hanson,is written by
933,tennis,Hilary Hanson,is written by
934,capitol,Hilary Hanson,is written by
935,Hilary Hanson,CRIME,covers
936,Hilary Hanson,BUSINESS,covers
937,attack,Jonathan Cohn,is written by
938,basketball,Jonathan Cohn,is written by
939,economy,Jonathan Cohn,is written by
940,football,Jonathan Cohn,is written by
941,police,Jonathan Cohn,is written by
942,court,Jonathan Cohn,is written by
943,technology,Jonathan Cohn,is written by
944,vote,Jonathan Cohn,is written by
945,Baseball,Jonathan Cohn,is written by
946,NFL,Jonathan Cohn,is written by
947,golf,Jonathan Cohn,is written by
948,trump,Jonathan Cohn,is written by
949,suspect,Jonathan Cohn,is written by
950,donald,Jonathan Cohn,is written by
951,charged,Jonathan Cohn,is written by
952,tennis,Jonathan Cohn,is written by
953,athletics,Jonathan Cohn,is written by
954,capitol,Jonathan Cohn,is written by
955,Jonathan Cohn,CRIME,covers
956,Jonathan Cohn,SPORTS,covers
957,Jonathan Cohn,BUSINESS,covers
958,attack,Sanjana Karanth,is written by
959,basketball,Sanjana Karanth,is written by
960,economy,Sanjana Karanth,is written by
961,football,Sanjana Karanth,is written by
962,police,Sanjana Karanth,is written by
963,court,Sanjana Karanth,is written by
964,technology,Sanjana Karanth,is written by
965,Baseball,Sanjana Karanth,is written by
966,NFL,Sanjana Karanth,is written by
967,golf,Sanjana Karanth,is written by
968,suspect,Sanjana Karanth,is written by
969,donald,Sanjana Karanth,is written by
970,tennis,Sanjana Karanth,is written by
971,Sanjana Karanth,BUSINESS,covers
972,attack,Arthur Delaney,is written by
973,basketball,Arthur Delaney,is written by
974,economy,Arthur Delaney,is written by
975,democrats,Arthur Delaney,is written by
976,football,Arthur Delaney,is written by
977,police,Arthur Delaney,is written by
978,court,Arthur Delaney,is written by
979,technology,Arthur Delaney,is written by
980,Baseball,Arthur Delaney,is written by
981,NFL,Arthur Delaney,is written by
982,golf,Arthur Delaney,is written by
983,suspect,Arthur Delaney,is written by
984,donald,Arthur Delaney,is written by
985,election,Arthur Delaney,is written by
986,charged,Arthur Delaney,is written by
987,tennis,Arthur Delaney,is written by
988,athletics,Arthur Delaney,is written by
989,capitol,Arthur Delaney,is written by
990,Arthur Delaney,CRIME,covers
991,Arthur Delaney,SPORTS,covers
992,Arthur Delaney,BUSINESS,covers
993,attack,Phillip Jackson,is written by
994,basketball,Phillip Jackson,is written by
995,economy,Phillip Jackson,is written by
996,democrats,Phillip Jackson,is written by
997,football,Phillip Jackson,is written by
998,police,Phillip Jackson,is written by
999,court,Phillip Jackson,is written by
1000,technology,Phillip Jackson,is written by
1001,biden,Phillip Jackson,is written by
1002,vote,Phillip Jackson,is written by
1003,Baseball,Phillip Jackson,is written by
1004,NFL,Phillip Jackson,is written by
1005,golf,Phillip Jackson,is written by
1006,trump,Phillip Jackson,is written by
1007,suspect,Phillip Jackson,is written by
1008,donald,Phillip Jackson,is written by
1009,election,Phillip Jackson,is written by
1010,charged,Phillip Jackson,is written by
1011,tennis,Phillip Jackson,is written by
1012,athletics,Phillip Jackson,is written by
1013,capitol,Phillip Jackson,is written by
1014,Phillip Jackson,SPORTS,covers
1015,Phillip Jackson,BUSINESS,covers
1016,attack,Chris D'Angelo,is written by
1017,basketball,Chris D'Angelo,is written by
1018,economy,Chris D'Angelo,is written by
1019,football,Chris D'Angelo,is written by
1020,police,Chris D'Angelo,is written by
1021,court,Chris D'Angelo,is written by
1022,technology,Chris D'Angelo,is written by
1023,vote,Chris D'Angelo,is written by
1024,Baseball,Chris D'Angelo,is written by
1025,NFL,Chris D'Angelo,is written by
1026,golf,Chris D'Angelo,is written by
1027,suspect,Chris D'Angelo,is written by
1028,donald,Chris D'Angelo,is written by
1029,election,Chris D'Angelo,is written by
1030,charged,Chris D'Angelo,is written by
1031,tennis,Chris D'Angelo,is written by
1032,athletics,Chris D'Angelo,is written by
1033,capitol,Chris D'Angelo,is written by
1034,Chris D'Angelo,CRIME,covers
1035,Chris D'Angelo,SPORTS,covers
1036,Chris D'Angelo,BUSINESS,covers
1037,attack,Terry Spencer,is written by
1038,basketball,Terry Spencer,is written by
1039,economy,Terry Spencer,is written by
1040,democrats,Terry Spencer,is written by
1041,football,Terry Spencer,is written by
1042,republicans,Terry Spencer,is written by
1043,police,Terry Spencer,is written by
1044,court,Terry Spencer,is written by
1045,technology,Terry Spencer,is written by
1046,biden,Terry Spencer,is written by
1047,vote,Terry Spencer,is written by
1048,Baseball,Terry Spencer,is written by
1049,NFL,Terry Spencer,is written by
1050,golf,Terry Spencer,is written by
1051,trump,Terry Spencer,is written by
1052,suspect,Terry Spencer,is written by
1053,donald,Terry Spencer,is written by
1054,election,Terry Spencer,is written by
1055,tennis,Terry Spencer,is written by
1056,athletics,Terry Spencer,is written by
1057,capitol,Terry Spencer,is written by
1058,Terry Spencer,SPORTS,covers
1059,Terry Spencer,POLITICS,covers
1060,Terry Spencer,BUSINESS,covers
1061,attack,Eric Tucker,is written by
1062,basketball,Eric Tucker,is written by
1063,economy,Eric Tucker,is written by
1064,democrats,Eric Tucker,is written by
1065,football,Eric Tucker,is written by
1066,police,Eric Tucker,is written by
1067,vote,Eric Tucker,is written by
1068,Baseball,Eric Tucker,is written by
1069,NFL,Eric Tucker,is written by
1070,golf,Eric Tucker,is written by
1071,trump,Eric Tucker,is written by
1072,suspect,Eric Tucker,is written by
1073,donald,Eric Tucker,is written by
1074,election,Eric Tucker,is written by
1075,charged,Eric Tucker,is written by
1076,tennis,Eric Tucker,is written by
1077,athletics,Eric Tucker,is written by
1078,capitol,Eric Tucker,is written by
1079,Eric Tucker,CRIME,covers
1080,Eric Tucker,SPORTS,covers
1081,attack,Nick Visser,is written by
1082,economy,Nick Visser,is written by
1083,football,Nick Visser,is written by
1084,police,Nick Visser,is written by
1085,technology,Nick Visser,is written by
1086,Baseball,Nick Visser,is written by
1087,NFL,Nick Visser,is written by
1088,golf,Nick Visser,is written by
1089,suspect,Nick Visser,is written by
1090,charged,Nick Visser,is written by
1091,tennis,Nick Visser,is written by
1092,athletics,Nick Visser,is written by
1093,Nick Visser,BUSINESS,covers
1094,attack,Brian Slodysko,is written by
1095,basketball,Brian Slodysko,is written by
1096,economy,Brian Slodysko,is written by
1097,democrats,Brian Slodysko,is written by
1098,football,Brian Slodysko,is written by
1099,police,Brian Slodysko,is written by
1100,court,Brian Slodysko,is written by
1101,technology,Brian Slodysko,is written by
1102,biden,Brian Slodysko,is written by
1103,vote,Brian Slodysko,is written by
1104,Baseball,Brian Slodysko,is written by
1105,NFL,Brian Slodysko,is written by
1106,golf,Brian Slodysko,is written by
1107,trump,Brian Slodysko,is written by
1108,suspect,Brian Slodysko,is written by
1109,donald,Brian Slodysko,is written by
1110,election,Brian Slodysko,is written by
1111,charged,Brian Slodysko,is written by
1112,tennis,Brian Slodysko,is written by
1113,athletics,Brian Slodysko,is written by
1114,capitol,Brian Slodysko,is written by
1115,Brian Slodysko,CRIME,covers
1116,Brian Slodysko,SPORTS,covers
1117,Brian Slodysko,BUSINESS,covers
