,source,target,relationship
206,election,Daniel Marans,is written by
207,election,David Moye,is written by
208,election,Sanjana Karanth,is written by
209,election,S.V. Date,is written by
210,election,Nick Visser,is written by
211,election,Ryan Grenoble,is written by
212,election,Lydia O'Connor,is written by
213,election,Jessica Schulberg,is written by
214,charged,Ben Blanchet,is written by
215,charged,David Moye,is written by
216,charged,Associated Press,is written by
217,charged,Sara Boboltz,is written by
218,charged,Mary Papenfuss,is written by
219,charged,Michael R. Sisak,is written by
220,charged,Terry Spencer,is written by
221,charged,Nina Golgowski,is written by
222,charged,Sanjana Karanth,is written by
223,Phillip Jackson,POLITICS,covers
224,Phillip Jackson,CRIME,covers
225,tennis,Howard Fendrich,is written by
226,tennis,Ron Dicker,is written by
227,Chris D'Angelo,POLITICS,covers
228,athletics,Ron Dicker,is written by
229,athletics,David Moye,is written by
230,athletics,Hilary Hanson,is written by
231,athletics,Elyse Wanshel,is written by
232,athletics,Ed Mazza,is written by
233,athletics,Alanna Vagianos,is written by
234,athletics,Sanjana Karanth,is written by
235,Terry Spencer,CRIME,covers
236,suspect,Mary Papenfuss,is written by
237,suspect,Nina Golgowski,is written by
238,suspect,David Moye,is written by
239,Eric Tucker,POLITICS,covers
240,Eric Tucker,BUSINESS,covers
241,Nick Visser,POLITICS,covers
242,Nick Visser,CRIME,covers
243,Nick Visser,SPORTS,covers
244,Brian Slodysko,POLITICS,covers
245,attack,Ryan Grenoble,is written by
246,basketball,Ryan Grenoble,is written by
247,economy,Ryan Grenoble,is written by
248,football,Ryan Grenoble,is written by
249,police,Ryan Grenoble,is written by
250,court,Ryan Grenoble,is written by
251,technology,Ryan Grenoble,is written by
252,Baseball,Ryan Grenoble,is written by
253,NFL,Ryan Grenoble,is written by
254,golf,Ryan Grenoble,is written by
255,suspect,Ryan Grenoble,is written by
256,donald,Ryan Grenoble,is written by
257,charged,Ryan Grenoble,is written by
258,tennis,Ryan Grenoble,is written by
259,athletics,Ryan Grenoble,is written by
260,capitol,Ryan Grenoble,is written by
261,Ryan Grenoble,CRIME,covers
262,Ryan Grenoble,SPORTS,covers
263,Ryan Grenoble,BUSINESS,covers
264,attack,Zeke Miller,is written by
265,basketball,Zeke Miller,is written by
266,economy,Zeke Miller,is written by
267,democrats,Zeke Miller,is written by
268,football,Zeke Miller,is written by
269,police,Zeke Miller,is written by
270,court,Zeke Miller,is written by
271,technology,Zeke Miller,is written by
272,biden,Zeke Miller,is written by
273,vote,Zeke Miller,is written by
274,Baseball,Zeke Miller,is written by
275,NFL,Zeke Miller,is written by
276,golf,Zeke Miller,is written by
