,source,target,relationship,type,label
1392,suspect,Marita Vlachou,is written by,explicit,no change
1393,suspect,Mary Papenfuss,is written by,explicit,no change
1394,suspect,Michael R. Sisak,is written by,explicit,no change
1395,suspect,Nathalie Baptiste,is written by,explicit,no change
1396,suspect,Nick Visser,is written by,explicit,no change
1397,suspect,Nina Golgowski,is written by,explicit,no change
1398,suspect,Phillip Jackson,is written by,explicit,no change
1399,suspect,Ron Dicker,is written by,explicit,no change
1400,suspect,Ryan Grenoble,is written by,explicit,no change
1401,suspect,S.V. Date,is written by,explicit,no change
1402,suspect,Sanjana Karanth,is written by,explicit,no change
1403,suspect,Sara Boboltz,is written by,explicit,no change
1404,suspect,Sebastian Murdock,is written by,implicit,no change
1405,suspect,Terry Spencer,is written by,explicit,no change
1406,suspect,Zeke Miller,is written by,explicit,no change
1407,technology,ACACIA CORONADO,is written by,explicit,no change
1408,technology,Alanna Vagianos,is written by,explicit,no change
1409,technology,Andy Campbell,is written by,explicit,no change
1410,technology,Arthur Delaney,is written by,explicit,no change
1411,technology,Associated Press,is written by,explicit,no change
1412,technology,Ben Blanchet,is written by,explicit,no change
1413,technology,Brian Slodysko,is written by,explicit,no change
1414,technology,CHRIS MEGERIAN,is written by,explicit,no change
1415,technology,Chris D'Angelo,is written by,explicit,no change
1416,technology,Daniel Marans,is written by,explicit,no change
1417,technology,Dave Jamieson,is written by,explicit,no change
1418,technology,David Moye,is written by,explicit,no change
1419,technology,Ed Mazza,is written by,explicit,no change
1420,technology,Elyse Wanshel,is written by,explicit,no change
1421,technology,Eric Tucker,is written by,explicit,no change
1422,technology,FARNOUSH AMIRI,is written by,explicit,no change
1423,technology,HOWARD FENDRICH,is written by,explicit,no change
1424,technology,Hilary Hanson,is written by,explicit,no change
1425,technology,Howard Fendrich,is written by,explicit,no change
1426,technology,Igor Bobic,is written by,explicit,no change
1427,technology,Jennifer Bendery,is written by,explicit,no change
1428,technology,Jessica Schulberg,is written by,explicit,no change
1429,technology,Jill Colvin,is written by,explicit,no change
1430,technology,Jonathan Cohn,is written by,explicit,no change
1431,technology,Jonathan Nicholson,is written by,explicit,no change
1432,technology,Kate Brumback,is written by,explicit,no change
1433,technology,Kevin Robillard,is written by,explicit,no change
1434,technology,Liz Skalka,is written by,explicit,no change
1435,technology,Lydia O'Connor,is written by,explicit,no change
1436,technology,Marita Vlachou,is written by,explicit,addition
1437,technology,Mary Papenfuss,is written by,explicit,no change
1438,technology,Michael R. Sisak,is written by,explicit,no change
1439,technology,Nathalie Baptiste,is written by,explicit,no change
1440,technology,Nick Visser,is written by,explicit,no change
1441,technology,Nina Golgowski,is written by,explicit,no change
1442,technology,Phillip Jackson,is written by,explicit,no change
1443,technology,Ron Dicker,is written by,explicit,no change
1444,technology,Ryan Grenoble,is written by,explicit,no change
1445,technology,S.V. Date,is written by,explicit,no change
1446,technology,Sanjana Karanth,is written by,explicit,no change
1447,technology,Sara Boboltz,is written by,explicit,no change
1448,technology,Terry Spencer,is written by,explicit,no change
1449,technology,Zeke Miller,is written by,explicit,no change
1450,tennis,ACACIA CORONADO,is written by,explicit,no change
1451,tennis,Alanna Vagianos,is written by,explicit,no change
1452,tennis,Andy Campbell,is written by,explicit,no change
1453,tennis,Arthur Delaney,is written by,explicit,no change
1454,tennis,Associated Press,is written by,explicit,no change
1455,tennis,Ben Blanchet,is written by,explicit,no change
1456,tennis,Brian Slodysko,is written by,explicit,no change
1457,tennis,CHRIS MEGERIAN,is written by,explicit,no change
1458,tennis,Chris D'Angelo,is written by,explicit,no change
1459,tennis,Daniel Marans,is written by,explicit,no change
1460,tennis,Dave Jamieson,is written by,explicit,no change
1461,tennis,David Moye,is written by,explicit,no change
1462,tennis,Ed Mazza,is written by,explicit,no change
1463,tennis,Elyse Wanshel,is written by,explicit,no change
1464,tennis,Eric Tucker,is written by,explicit,no change
1465,tennis,FARNOUSH AMIRI,is written by,explicit,no change
1466,tennis,HOWARD FENDRICH,is written by,explicit,addition
1467,tennis,Hayley Miller,is written by,implicit,no change
1468,tennis,Hilary Hanson,is written by,explicit,no change
1469,tennis,Howard Fendrich,is written by,explicit,no change
1470,tennis,Igor Bobic,is written by,explicit,no change
1471,tennis,Ja'han Jones,is written by,implicit,no change
1472,tennis,Jennifer Bendery,is written by,explicit,no change
1473,tennis,Jessica Schulberg,is written by,explicit,no change
1474,tennis,Jill Colvin,is written by,explicit,no change
1475,tennis,Jonathan Cohn,is written by,explicit,no change
1476,tennis,Jonathan Nicholson,is written by,explicit,no change
1477,tennis,Josephine Harvey,is written by,implicit,no change
1478,tennis,Kate Brumback,is written by,explicit,no change
1479,tennis,Kevin Robillard,is written by,explicit,no change
1480,tennis,Lee Moran,is written by,implicit,no change
1481,tennis,Liz Skalka,is written by,explicit,no change
1482,tennis,Lydia O'Connor,is written by,explicit,no change
1483,tennis,MATTIAS KARÉN,is written by,implicit,no change
1484,tennis,Marita Vlachou,is written by,explicit,no change
1485,tennis,Mary Papenfuss,is written by,explicit,no change
1486,tennis,Michael R. Sisak,is written by,explicit,no change
1487,tennis,Nathalie Baptiste,is written by,explicit,no change
1488,tennis,Nick Visser,is written by,explicit,no change
1489,tennis,Nina Golgowski,is written by,explicit,no change
1490,tennis,Phillip Jackson,is written by,explicit,no change
1491,tennis,Ron Dicker,is written by,explicit,no change
1492,tennis,Ryan Grenoble,is written by,explicit,no change
1493,tennis,S.V. Date,is written by,explicit,no change
1494,tennis,Sanjana Karanth,is written by,explicit,no change
1495,tennis,Sara Boboltz,is written by,explicit,no change
1496,tennis,Terry Spencer,is written by,explicit,no change
1497,tennis,Zeke Miller,is written by,explicit,no change
1498,trump,ACACIA CORONADO,is written by,explicit,no change
1499,trump,Aamer Madhani,is written by,implicit,no change
1500,trump,Akbar Shahid Ahmed,is written by,implicit,no change
1501,trump,Alanna Vagianos,is written by,explicit,no change
1502,trump,Amanda Terkel,is written by,implicit,no change
1503,trump,Andy Campbell,is written by,explicit,no change
1504,trump,Arthur Delaney,is written by,explicit,no change
1505,trump,Associated Press,is written by,explicit,no change
1506,trump,Ben Blanchet,is written by,explicit,no change
1507,trump,Brian Slodysko,is written by,explicit,no change
1508,trump,CHRIS MEGERIAN,is written by,explicit,no change
1509,trump,Chris D'Angelo,is written by,explicit,no change
1510,trump,Christopher Mathias,is written by,implicit,no change
1511,trump,Daniel Marans,is written by,explicit,no change
1512,trump,Dave Jamieson,is written by,explicit,no change
1513,trump,David Moye,is written by,explicit,no change
1514,trump,Dominique Mosbergen,is written by,implicit,no change
1515,trump,Ed Mazza,is written by,explicit,no change
1516,trump,Elyse Wanshel,is written by,explicit,addition
1517,trump,Emily Peck,is written by,implicit,no change
1518,trump,Eric Tucker,is written by,explicit,no change
1519,trump,FARNOUSH AMIRI,is written by,explicit,no change
1520,trump,HOWARD FENDRICH,is written by,explicit,no change
1521,trump,Hayley Miller,is written by,implicit,no change
1522,trump,Hilary Hanson,is written by,explicit,no change
1523,trump,Howard Fendrich,is written by,explicit,no change
1524,trump,HuffPost Staff,is written by,implicit,no change
1525,trump,Igor Bobic,is written by,explicit,no change
1526,trump,Jenna Amatulli,is written by,implicit,no change
1527,trump,Jennifer Bendery,is written by,explicit,no change
1528,trump,Jennifer Peltz,is written by,implicit,no change
1529,trump,Jeremy Blum,is written by,implicit,no change
1530,trump,Jessica Schulberg,is written by,explicit,no change
1531,trump,Jill Colvin,is written by,explicit,no change
1532,trump,Jonathan Cohn,is written by,explicit,no change
1533,trump,Jonathan Lemire,is written by,implicit,no change
1534,trump,Jonathan Nicholson,is written by,explicit,no change
1535,trump,Josephine Harvey,is written by,implicit,no change
1536,trump,Kate Brumback,is written by,explicit,no change
1537,trump,Kevin Robillard,is written by,explicit,no change
1538,trump,Lee Moran,is written by,implicit,no change
1539,trump,Liz Skalka,is written by,explicit,no change
1540,trump,Lydia O'Connor,is written by,explicit,no change
1541,trump,MARK SHERMAN,is written by,implicit,no change
1542,trump,Marina Fang,is written by,implicit,no change
1543,trump,Marita Vlachou,is written by,explicit,no change
1544,trump,Mary Papenfuss,is written by,explicit,no change
1545,trump,Melissa Jeltsen,is written by,implicit,no change
1546,trump,Michael Kunzelman,is written by,implicit,no change
1547,trump,Michael R. Sisak,is written by,explicit,no change
1548,trump,Molly Redden,is written by,implicit,no change
1549,trump,Nathalie Baptiste,is written by,explicit,no change
1550,trump,Nick Visser,is written by,explicit,no change
1551,trump,Nina Golgowski,is written by,explicit,no change
1552,trump,Paul J. Weber,is written by,implicit,no change
1553,trump,Phillip Jackson,is written by,explicit,no change
1554,trump,Ron Dicker,is written by,explicit,no change
1555,trump,Rowaida Abdelaziz,is written by,implicit,no change
1556,trump,Ryan Grenoble,is written by,explicit,no change
1557,trump,Ryan J. Reilly,is written by,implicit,no change
1558,trump,S.V. Date,is written by,explicit,no change
1559,trump,Sanjana Karanth,is written by,explicit,no change
1560,trump,Sara Boboltz,is written by,explicit,no change
1561,trump,Terry Spencer,is written by,explicit,addition
1562,trump,Zeke Miller,is written by,explicit,no change
1563,vote,ACACIA CORONADO,is written by,explicit,no change
1564,vote,Akbar Shahid Ahmed,is written by,implicit,no change
1565,vote,Alan Fram,is written by,implicit,no change
1566,vote,Alanna Vagianos,is written by,explicit,addition
1567,vote,Amanda Terkel,is written by,implicit,no change
1568,vote,Andy Campbell,is written by,explicit,no change
1569,vote,Arthur Delaney,is written by,explicit,no change
1570,vote,Associated Press,is written by,explicit,no change
1571,vote,BRIAN SLODYSKO,is written by,implicit,no change
1572,vote,Ben Blanchet,is written by,explicit,no change
1573,vote,Brian Slodysko,is written by,explicit,no change
1574,vote,CHRIS MEGERIAN,is written by,explicit,no change
1575,vote,Chris D'Angelo,is written by,explicit,no change
1576,vote,Daniel Marans,is written by,explicit,no change
1577,vote,Dave Jamieson,is written by,explicit,no change
1578,vote,David Moye,is written by,explicit,no change
1579,vote,Dominique Mosbergen,is written by,implicit,no change
1580,vote,Ed Mazza,is written by,explicit,no change
1581,vote,Elyse Wanshel,is written by,explicit,no change
1582,vote,Eric Tucker,is written by,explicit,no change
1583,vote,FARNOUSH AMIRI,is written by,explicit,no change
1584,vote,HOWARD FENDRICH,is written by,explicit,no change
1585,vote,Hayley Miller,is written by,implicit,no change
1586,vote,Hilary Hanson,is written by,explicit,no change
1587,vote,Howard Fendrich,is written by,explicit,no change
1588,vote,Igor Bobic,is written by,explicit,no change
1589,vote,Jeff Martin,is written by,implicit,no change
1590,vote,Jennifer Bendery,is written by,explicit,no change
1591,vote,Jessica Schulberg,is written by,explicit,no change
1592,vote,Jill Colvin,is written by,explicit,no change
1593,vote,Jonathan Cohn,is written by,explicit,no change
1594,vote,Jonathan Nicholson,is written by,explicit,no change
1595,vote,Kate Brumback,is written by,explicit,no change
1596,vote,Kevin Robillard,is written by,explicit,addition
1597,vote,Lee Moran,is written by,implicit,no change
1598,vote,Liz Skalka,is written by,explicit,no change
1599,vote,Lydia O'Connor,is written by,explicit,no change
1600,vote,Marita Vlachou,is written by,explicit,no change
1601,vote,Mary Papenfuss,is written by,explicit,no change
1602,vote,Michael R. Sisak,is written by,explicit,no change
1603,vote,Mike Schneider,is written by,implicit,no change
1604,vote,NICHOLAS RICCARDI,is written by,implicit,no change
1605,vote,Nathalie Baptiste,is written by,explicit,no change
1606,vote,Nick Robins-Early,is written by,implicit,no change
1607,vote,Nick Visser,is written by,explicit,no change
1608,vote,Nina Golgowski,is written by,explicit,no change
1609,vote,Paul Blumenthal,is written by,implicit,no change
1610,vote,Phillip Jackson,is written by,explicit,no change
1611,vote,Ron Dicker,is written by,explicit,no change
1612,vote,Ryan Grenoble,is written by,explicit,no change
1613,vote,S.V. Date,is written by,explicit,no change
1614,vote,Sanjana Karanth,is written by,explicit,no change
1615,vote,Sara Boboltz,is written by,explicit,no change
1616,vote,Terry Spencer,is written by,explicit,no change
1617,vote,Zeke Miller,is written by,explicit,no change
